id,name,macro_category,type,emoji,user_owner,inserted_at,updated_at
1,FONDO EMERGENZE,SAVINGS,NEEDS,🚨,admin,2025-02-18T20:13:40Z,2025-04-04T06:04:16Z
2,FONDO SPESE CONDOMINIALI,SAVINGS,NEEDS,🏢,admin,2025-03-02T17:56:43Z,2025-04-04T06:04:43Z
3,BOX,SUBSCRIPTIONS,NEEDS,🅿️,admin,2025-02-18T20:13:40Z,2025-04-04T06:06:47Z
4,INTERNET,BILLS,NEEDS,🌐,admin,2025-02-18T20:13:40Z,2025-04-09T06:38:33Z
5,ELETTRICITA,BILLS,NEEDS,🔌,admin,2025-02-18T20:13:40Z,2025-04-09T06:38:48Z
6,PALESTRA,SUBSCRIPTIONS,NEEDS,🥊,admin,2025-02-18T20:13:40Z,2025-02-18T20:20:16Z
7,SPOTIFY,SUBSCRIPTIONS,WANTS,🟢ᯤ,admin,2025-02-18T20:13:40Z,2025-02-18T20:13:40Z
8,CHESS_DOT_COM,SUBSCRIPTIONS,WANTS,♟️,admin,2025-02-18T20:13:40Z,2025-02-18T20:13:40Z
9,KEEPER,SUBSCRIPTIONS,WANTS,🔐,admin,2025-02-18T20:13:40Z,2025-02-18T20:13:40Z
10,ARUBA,SUBSCRIPTIONS,WANTS,🪪,admin,2025-02-18T20:13:40Z,2025-02-18T20:13:40Z
11,CHAT_GPT,SUBSCRIPTIONS,WANTS,֎,admin,2025-02-18T20:13:40Z,2025-02-18T20:13:40Z
12,COPILOT,SUBSCRIPTIONS,WANTS,👨🏻‍💻,admin,2025-02-18T20:13:40Z,2025-02-18T20:13:40Z
13,ICLOUD,SUBSCRIPTIONS,WANTS,🍎☁️,admin,2025-02-18T20:13:40Z,2025-02-18T20:13:40Z
14,DISCOVERY,SUBSCRIPTIONS,WANTS,🎬 🔵,admin,2025-02-18T20:13:40Z,2025-02-18T20:13:40Z
15,PRIME,SUBSCRIPTIONS,WANTS,🎬 🟢,admin,2025-02-18T20:13:40Z,2025-02-18T20:13:40Z
16,PREPLY,SUBSCRIPTIONS,NEEDS,🇬🇧,admin,2025-02-18T20:13:40Z,2025-02-18T20:13:40Z
